event_id,type,severity,message,timestamp
EVT-1,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776859234
EVT-2,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776859254
EVT-3,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776859254
EVT-4,MODE_CHANGED,INFO,Switched to ACTIVE,1776859257
EVT-5,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776859259
EVT-6,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776859260
EVT-7,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776859260
EVT-8,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776859265
EVT-9,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776859265
EVT-10,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776859267
EVT-11,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776859267
EVT-12,MODE_CHANGED,INFO,Switched to DISCOUNT,1776859268
EVT-13,MODE_CHANGED,INFO,Switched to DISCOUNT,1776859272
EVT-14,MODE_CHANGED,INFO,Switched to DISCOUNT,1776859273
EVT-15,INVENTORY_ACCESS,INFO,Reserved 30 of 101,1776859286
EVT-16,INVENTORY_ACCESS,INFO,Updated stock for 101,1776859286
EVT-17,PURCHASE,INFO,User U123 purchased 101,1776859286
EVT-18,INVENTORY_ACCESS,INFO,Reserved 300 of 103,1776859313
EVT-19,TRANSACTION_FAILED,WARNING,Could not reserve item 103,1776859313
EVT-20,INVENTORY_ACCESS,INFO,Reserved 300 of 103,1776859316
EVT-21,TRANSACTION_FAILED,WARNING,Could not reserve item 103,1776859316
EVT-22,INVENTORY_ACCESS,INFO,Reserved 300 of 103,1776859317
EVT-23,TRANSACTION_FAILED,WARNING,Could not reserve item 103,1776859317
EVT-24,INVENTORY_ACCESS,INFO,Reserved 300 of 103,1776859317
EVT-25,TRANSACTION_FAILED,WARNING,Could not reserve item 103,1776859317
EVT-26,INVENTORY_ACCESS,INFO,Reserved 300 of 103,1776859317
EVT-27,TRANSACTION_FAILED,WARNING,Could not reserve item 103,1776859317
EVT-28,LOW_STOCK,WARNING,Product Sandwich is running low.,1776859347
EVT-29,INVENTORY_ACCESS,INFO,Reserved 30 of 201,1776859347
EVT-30,INVENTORY_ACCESS,INFO,Updated stock for 201,1776859347
EVT-31,PURCHASE,INFO,User 145 purchased 201,1776859347
EVT-32,INVENTORY_ACCESS,INFO,Reserved 10 of 102,1776859438
EVT-33,INVENTORY_ACCESS,INFO,Updated stock for 102,1776859438
EVT-34,PURCHASE,INFO,User 44 purchased 102,1776859438
EVT-35,HARDWARE_FAILURE,WARNING,Sensor malfunction detected.,1776859455
EVT-36,HARDWARE_FAILURE,CRITICAL,Unresolved issue with SYSTEM. Technician alerted.,1776859455
EVT-37,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776859458
EVT-38,MODE_CHANGED,INFO,Switched to ACTIVE,1776859465
EVT-1,MODE_CHANGED,INFO,Switched to DISCOUNT,1776860646
EVT-2,MODE_CHANGED,INFO,Switched to ACTIVE,1776860653
EVT-1,EMERGENCY_ACTIVATED,CRITICAL,Emergency lockdown initiated!,1776862405
EVT-2,MODE_CHANGED,INFO,Switched to DISCOUNT,1776862413
EVT-3,MODE_CHANGED,INFO,Switched to POWER_SAVING,1776862416
EVT-4,MODE_CHANGED,INFO,Switched to DISCOUNT,1776862418
EVT-5,MODE_CHANGED,INFO,Switched to ACTIVE,1776862420
EVT-6,MODE_CHANGED,INFO,Switched to DISCOUNT,1776862422
EVT-7,MODE_CHANGED,INFO,Switched to POWER_SAVING,1776862423
EVT-8,MODE_CHANGED,INFO,Switched to DISCOUNT,1776862425
