txn_id,product_id,user_id,qty,final_price,status,timestamp
TXN-1776859286,101,U123,30,120,SUCCESS,1776859286
TXN-1776859347,201,145,30,96,SUCCESS,1776859347
TXN-1776859438,102,44,10,200,SUCCESS,1776859438
TXN-1776862478,101,U123,9,45,SUCCESS,1776862478
TXN-1776862479,101,U123,9,45,SUCCESS,1776862479
TXN-1776863862,203,DEMO_USER,15,22.5,SUCCESS,1776863862
TXN-1776863928,101,DEMO_USER,1,4,SUCCESS,1776863928
TXN-1776864753,103,DEMO_USER,1,0,SUCCESS,1776864753
TXN-1776864776,103,DEMO_USER,1,0,SUCCESS,1776864776
TXN-1776865460,102,DEMO_USER,1,0,SUCCESS,1776865460
TXN-1776865886,202,U123,1,0,SUCCESS,1776865886
TXN-1777190743,103,U123,1,3.5,SUCCESS,1777190743
TXN-1777198263,102,U123,8,160,SUCCESS,1777198263
TXN-1777198304,102,U123,1,0,SUCCESS,1777198304
TXN-1777199442,102,U123,1,25,SUCCESS,1777199442
TXN-1777199671,101,U123,7,35,SUCCESS,1777199671
